Team1,Team2,odd1,odd2,league,date
21:30,"Cundom, J / Gomez, F A","Trongcharoenchaikul, W / Watanabe, S",2.35,1.50,"Tennis - ITF Men, Cancun, Doubles M-Itf-Mex-02A ",Tue 28.09
17:00,"Blanch, Dali","Lilov, Victor",1.94,1.73,"Tennis - ITF Men, Cancun, Singles M-Itf-Mex-02A ",Tue 28.09
17:00,"Zhu, Michael","Banthia, Siddhant",2.23,1.55,"Tennis - ITF Men, Cancun, Singles M-Itf-Mex-02A ",Tue 28.09
17:00,"Hussey, Giles","Trongcharoenchaikul, Wishaya",1.23,3.57,"Tennis - ITF Men, Cancun, Singles M-Itf-Mex-02A ",Tue 28.09
18:30,"Hoyos Franco, Alejandro","Boyer, Dusty H",1.80,1.86,"Tennis - ITF Men, Cancun, Singles M-Itf-Mex-02A ",Tue 28.09
15:00,"Gomez, Juan Sebastian","Casso, Alfredo",1.05,7.12,"Tennis - ITF Men, Cancun, Singles M-Itf-Mex-02A ",Wed 29.09
16:00,"Bergevi, F / Freund S","Dahlberg, M / Friberg, K",1.28,3.21,"Tennis - ITF Men, Falun, Doubles M-Itf-Swe-04A ",Tue 28.09
16:00,"Ruzgas, M / Saatela, L","Fayziev, S / Fomin, S",3.57,1.23,"Tennis - ITF Men, Falun, Doubles M-Itf-Swe-04A ",Tue 28.09
16:25,"Simon, T / Zima, L","Dembek, M / Moeller, M",2.42,1.47,"Tennis - ITF Men, Falun, Doubles M-Itf-Swe-04A ",Tue 28.09
16:45,"Imai, S / Takahashi, Y","Borg, L / Watanabe, Eriksson A",1.05,7.12,"Tennis - ITF Men, Falun, Doubles M-Itf-Swe-04A ",Tue 28.09
15:30,"Calzi, R","Hodkin, S / Hurrion, M",2.40,1.48,"Tennis - ITF Men, Forbach, Doubles M-Itf-Fra-13A ",Tue 28.09
21:30,"Liang, E S / Lu, J-J","Aney, J / Manasse, M",1.98,1.70,"Tennis - ITF Women, Berkeley, Ca, Doubles W-Itf-USA-18A ",Tue 28.09
21:30,"Bozovic, A / Osborne, A","Chang, S / Kulikov, A",2.57,1.42,"Tennis - ITF Women, Berkeley, Ca, Doubles W-Itf-USA-18A ",Tue 28.09
23:00,"Giavara, H / Ivanov V","Bolton, E / Hart J M",2.84,1.35,"Tennis - ITF Women, Berkeley, Ca, Doubles W-Itf-USA-18A ",Tue 28.09
17:00,"Navarro, Emma","Bolton, Elysia",1.20,3.85,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
17:00,"Bozovic, Alexandra","Giavara, Haley",1.12,5.00,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
17:00,"Chang, Sophie","Aney, Jessie",1.47,2.42,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
17:00,"Arango, Emiliana","Manasse, Maegan",1.30,3.09,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
18:30,Kuwata Hiroko,"Van Nguyen, Chan.",1.43,2.54,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
18:30,"Kaji, Haruka","Kinard, Tori",1.55,2.23,"Tennis - ITF Women, Berkeley, Ca, Singles Qualifying W-Itf-USA-18A ",Tue 28.09
